Last update date,Town number,Town,Total cases ,Confirmed cases,Probable cases,Case rate,Total deaths,Confirmed deaths,Probable deaths,People tested,Rate tested per 100k,Number of tests,Number of positives,Number of negatives,Number of indeterminates
03/24/2020,125,Sharon,1,,,,0,,,,,,,,
03/24/2020,25,Cheshire,0,,,,0,,,,,,,,
03/25/2020,111,Plymouth,1,,,,0,,,,,,,,
03/25/2020,112,Pomfret,0,,,,0,,,,,,,,
03/25/2020,113,Portland,2,,,,0,,,,,,,,
03/25/2020,114,Preston,0,,,,0,,,,,,,,
03/25/2020,115,Prospect,1,,,,0,,,,,,,,
03/25/2020,116,Putnam,0,,,,0,,,,,,,,
03/25/2020,117,Redding,6,,,,0,,,,,,,,
03/25/2020,15,Bridgeport,27,,,,0,,,,,,,,
03/26/2020,141,Thompson,0,,,,0,,,,,,,,
03/26/2020,75,Lyme,1,,,,0,,,,,,,,
03/24/2020,110,Plainville,1,,,,0,,,,,,,,
03/24/2020,79,Marlborough,0,,,,0,,,,,,,,
03/24/2020,119,Rocky Hill,8,,,,0,,,,,,,,
03/24/2020,96,New Milford,2,,,,0,,,,,,,,
03/24/2020,4,Avon,2,,,,0,,,,,,,,
03/24/2020,77,Manchester,5,,,,0,,,,,,,,
03/24/2020,20,Burlington,1,,,,0,,,,,,,,
03/24/2020,64,Hartford,14,,,,0,,,,,,,,
03/24/2020,12,Bolton,1,,,,0,,,,,,,,
03/24/2020,155,West Hartford,6,,,,0,,,,,,,,
03/24/2020,43,East Hartford,2,,,,0,,,,,,,,
03/24/2020,66,Harwinton,2,,,,0,,,,,,,,
03/24/2020,74,Litchfield,2,,,,0,,,,,,,,
03/24/2020,68,Kent,1,,,,0,,,,,,,,
03/24/2020,149,Warren,0,,,,0,,,,,,,,
03/24/2020,136,Sterling,0,,,,0,,,,,,,,
03/24/2020,52,Farmington,5,,,,0,,,,,,,,
03/24/2020,109,Plainfield,0,,,,0,,,,,,,,
03/24/2020,1,Andover,0,,,,0,,,,,,,,
03/24/2020,22,Canterbury,0,,,,0,,,,,,,,
03/24/2020,153,Watertown,1,,,,0,,,,,,,,
03/24/2020,10,Bethlehem,3,,,,0,,,,,,,,
03/24/2020,127,Sherman,1,,,,0,,,,,,,,
03/24/2020,53,Franklin,0,,,,0,,,,,,,,
03/24/2020,133,Sprague,0,,,,0,,,,,,,,
03/24/2020,131,Southington,6,,,,0,,,,,,,,
03/24/2020,7,Berlin,2,,,,0,,,,,,,,
03/24/2020,28,Colchester,0,,,,0,,,,,,,,
03/24/2020,151,Waterbury,10,,,,0,,,,,,,,
03/24/2020,168,Woodbury,1,,,,0,,,,,,,,
03/24/2020,104,Norwich,2,,,,0,,,,,,,,
03/24/2020,120,Roxbury,0,,,,0,,,,,,,,
03/24/2020,83,Middletown,1,,,,0,,,,,,,,
03/24/2020,13,Bozrah,0,,,,0,,,,,,,,
03/24/2020,80,Meriden,3,,,,0,,,,,,,,
03/24/2020,114,Preston,0,,,,0,,,,,,,,
03/24/2020,81,Middlebury,0,,,,0,,,,,,,,
03/24/2020,16,Bridgewater,1,,,,0,,,,,,,,
